year,muni_code,party,share,coverage,councils,history_in_province
2021,CPT,INDEPENDENT SOUTH AFRICAN NATIONAL CIVIC ORGANISATION,1.1026065949039828e-4,0.02586206896551724,1,FALSE
2021,CPT,ABANTU BATHO CONGRESS,1.684080719579715e-4,0.1896551724137931,1,FALSE
2021,CPT,COMPATRIOTS OF SOUTH AFRICA,1.3933436572418487e-4,0.017241379310344827,5,FALSE
2021,CPT,KHOI-SAN KINGDOM OF RSA,5.485604949771058e-6,0.017241379310344827,3,FALSE
2021,CPT,DEMOCRATIC EQUALITY EMPOWERMENT PARTY,1.7553935839267387e-5,0.008620689655172414,1,FALSE
2021,WC011,KHOI-SAN HEAVENLY PARTY,0.008057993589551568,0,1,FALSE
2021,WC011,AFRICA RESTORATION ALLIANCE,0.004283617410059012,0.875,15,FALSE
2021,WC011,KHOI-SAN KINGDOM OF RSA,8.986609951172753e-4,0.25,3,FALSE
2021,WC012,AFRICA RESTORATION ALLIANCE,0.0065533898591358985,0.8333333333333334,15,FALSE
2021,WC012,CEDERBERG FIRST RESIDENTS ASSOCIATION,0.27500591156301724,1,1,FALSE
2021,WC012,DEMOCRATIC INDEPENDENT PARTY,0.006384488058642705,1,2,TRUE
2021,WC012,PATRIOTIC ALLIANCE,0.07762726750667162,1,23,TRUE
2021,WC012,THE ORGANIC HUMANITY MOVEMENT,0.0012836536837482688,0.8333333333333334,7,FALSE
2021,WC013,AFRICA RESTORATION ALLIANCE,0.0027141133896260556,0.8571428571428571,15,FALSE
2021,WC013,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.005763302506366439,1,20,FALSE
2021,WC013,PATRIOTIC ALLIANCE,0.07046642541214314,1,23,TRUE
2021,WC013,SIZWE UMMAH NATION,0.0019099316445516687,0.8571428571428571,2,TRUE
2021,WC014,AFRICA RESTORATION ALLIANCE,0.0018235806732724397,0.7142857142857143,15,FALSE
2021,WC014,CAPE COLOURED CONGRESS,0.014152922570441855,0.8571428571428571,6,FALSE
2021,WC014,KONSERWATIEWE PARTY/CONSERVATIVE PARTY,0.003308265823193364,0.9285714285714286,1,FALSE
2021,WC014,PATRIOTIC ALLIANCE,0.043152696640092955,1,23,TRUE
2021,WC014,SPECTRUM NATIONAL PARTY,7.584804570248201e-4,0.6428571428571429,11,FALSE
2021,WC014,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.007262046928961043,0.7857142857142857,20,FALSE
2021,WC015,AFRICA RESTORATION ALLIANCE,0.0037041795135320317,0.6666666666666666,15,FALSE
2021,WC015,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.008607399794450155,1,20,FALSE
2021,WC015,PATRIOTIC ALLIANCE,0.00869304556354916,0.8333333333333334,23,TRUE
2021,WC015,CAPE COLOURED CONGRESS,0.0011348064405618363,0.16666666666666666,6,FALSE
2021,WC015,KHOI-SAN KINGDOM OF RSA,2.1411442274751628e-4,0.16666666666666666,3,FALSE
2021,WC022,WITZENBERG ONAFHANKLIKE DEMOKRATIESE PARTY,0.008952461927029934,1,1,FALSE
2021,WC022,WITZENBERG PARTY,0.01945535022131086,0.5,1,FALSE
2021,WC022,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0031758733651754234,0.75,20,FALSE
2021,WC022,SPECTRUM NATIONAL PARTY,0.0025256945660056514,0.8333333333333334,11,FALSE
2021,WC023,AFRICA RESTORATION ALLIANCE,0.003501769711574667,0.6666666666666666,15,FALSE
2021,WC023,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0035620152119888544,0.7878787878787878,20,FALSE
2021,WC023,CONCERNED DRAKENSTEIN RESIDENTS,0.042465547104450635,0.9393939393939394,1,FALSE
2021,WC023,TRANSFORMING DRAKENSTEIN COMMUNITY FORUM,0.0023947586414639656,0.8181818181818182,1,FALSE
2021,WC023,SPECTRUM NATIONAL PARTY,0.0010392348821447398,0.48484848484848486,11,FALSE
2021,WC023,CAPE COLOURED CONGRESS,0.001137133820317795,0.06060606060606061,6,FALSE
2021,WC024,AFRICA RESTORATION ALLIANCE,0.0019647050617312657,0.5652173913043478,15,FALSE
2021,WC024,AFRICAN FREEDOM REVOLUTION,6.161501081169057e-4,0.08695652173913043,3,FALSE
2021,WC024,CAPE COLOURED CONGRESS,0.006161501081169057,0.782608695652174,6,FALSE
2021,WC024,SPECTRUM NATIONAL PARTY,0.001732195586970169,0.5652173913043478,11,FALSE
2021,WC024,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.003603896858796996,0.782608695652174,20,FALSE
2021,WC024,ECONOMIC EMANCIPATION FORUM,8.602850566160571e-4,0.43478260869565216,2,FALSE
2021,WC025,CAPE COLOURED CONGRESS,0.006387171298498335,0.7619047619047619,6,FALSE
2021,WC025,ECONOMIC LIBERATION CONGRESS,0.008058707617041517,0.47619047619047616,2,FALSE
2021,WC025,KHOISAN UNITED MOVEMENT,0.0020248691988856427,0.5714285714285714,1,FALSE
2021,WC025,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0025412787932323163,0.8095238095238095,20,FALSE
2021,WC025,SPECTRUM NATIONAL PARTY,9.648705578582592e-4,0.7142857142857143,11,FALSE
2021,WC026,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.004822241358100627,0.8333333333333334,20,FALSE
2021,WC026,THE ORGANIC HUMANITY MOVEMENT,0.0017960388731701317,0.6666666666666666,7,FALSE
2021,WC026,COMPATRIOTS OF SOUTH AFRICA,0.007848443843031122,0.8333333333333334,5,FALSE
2021,WC026,YOUTH INDEPENDENCE PARTY AND YOUTH ASSOCIATES,0.009841308894082914,0.8333333333333334,1,FALSE
2021,WC026,ECONOMIC LIBERATION CONGRESS,0.004969860991511871,0.3333333333333333,2,FALSE
2021,WC031,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0035826242722794446,0.9285714285714286,20,FALSE
2021,WC031,PATRIOTIC ALLIANCE,0.0517533441071672,1,23,TRUE
2021,WC031,WESTERN PROVINCE PARTY,0.011877178293969897,1,4,FALSE
2021,WC031,UNITED INDEPENDENT MOVEMENT,0.002102844681555326,1,5,FALSE
2021,WC031,SPECTRUM NATIONAL PARTY,0.008528203430752156,0.8571428571428571,11,FALSE
2021,WC032,THE ORGANIC HUMANITY MOVEMENT,0.0017370660953649286,0.8571428571428571,7,FALSE
2021,WC032,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.006195535740134912,0.7857142857142857,20,FALSE
2021,WC032,PATRIOTIC ALLIANCE,0.0023016125763585305,0.14285714285714285,23,TRUE
2021,WC032,SPECTRUM NATIONAL PARTY,7.093019889406792e-4,0.2857142857142857,11,FALSE
2021,WC032,WESTERN PROVINCE PARTY,0.00531252714165774,0.8571428571428571,4,FALSE
2021,WC033,THE PEOPLE'S AGENDA,0.018181054753107155,1,1,FALSE
2021,WC033,WESTERN PROVINCE PARTY,0.014276116896204233,1,4,FALSE
2021,WC033,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.006298286865972455,0.8333333333333334,20,FALSE
