file,url,retrieved_utc,bytes,sha256,note
data/raw/statssa/ward_product_2022.zip,https://www.statssa.gov.za/wp-content/uploads/2025/11/Ward-Product_Locked-spreadsheets.zip,2026-09-24 13:41:36 UTC,1865768,d8eae4732557228d08fdf1d2ff2f5077ee55454185d489931213b1896a0a617a,
data/raw/iec/candidates/LGE2026_WC.pdf,https://www.elections.org.za/pw/Documents/Candidate%20Lists/LGE2026/LGE2026%20Certified%20Candidate%20List%20-%20WC.pdf,2026-09-24 13:41:38 UTC,3220816,b27df1d02fb0893ffa896c3b5b362570164c908dc146500b5b50f1b0ddf35570,
data/raw/manual_downloads/npe2019_provincial.zip,https://results.elections.org.za/home/NPEPublicReports/827/Downloadable%20Results/Provincial.zip,2026-09-24 14:06:30 UTC,4032314,bf75dc4682b7f8b2fc9f4a3455ae126fa2e7764badf66d04272779bf1fd5d791,manual browser download
data/raw/manual_downloads/npe2024_provincial.zip,https://results.elections.org.za/home/NPEPublicReports/1335/Downloadable%20Results/Provincial.zip,2026-09-24 14:06:30 UTC,4171034,bc09f835e155a7119595fecf0d2304b37a8be156446e18596ba66d3f9b4885ab,manual browser download
data/raw/manual_downloads/npe2014_bulk.zip,https://www.elections.org.za/content/Elections/Downloadable-results/2014-National-and-Provincial-Elections--Complete-voting-district-level-results-data-(zipped-CSV)/,2026-09-24 22:15:13 UTC,7055916,5a70e4d56646e7521b184457740f7c07e5be0ca22035b6143292052176974bfe,manual browser download
data/raw/iec/lge/2016/downloadable_party_results/CPT.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/CPT.csv,2026-09-24 22:18:00 UTC,6726754,f490133b59adbe8e0300ff766ab3990e390b2160af97ccf882bfb9d76f0ea3ce,
data/raw/iec/lge/2016/downloadable_party_results/WC011.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC011.csv,2026-09-24 22:18:01 UTC,128878,514d280506dee21fd633d3a65d56de3921e2668feaba2aab5c11f78681c2c62f,
data/raw/iec/lge/2016/downloadable_party_results/WC012.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC012.csv,2026-09-24 22:18:01 UTC,99328,05c2745c57df6d901d5be55fe45d9defb512256a7ba85f1d9065aa7e9ef03575,
data/raw/iec/lge/2016/downloadable_party_results/WC013.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC013.csv,2026-09-24 22:18:02 UTC,73628,4451118ef6eb9f705e7fffca04dfff678a6ac6f0e8ab4ed6b76fd5dac3ebb2bf,
data/raw/iec/lge/2016/downloadable_party_results/WC014.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC014.csv,2026-09-24 22:18:03 UTC,146489,f4546e6a666f7381f4262c6f5882b4d46116cb72cfad648eb02ced79da8f78cd,
data/raw/iec/lge/2016/downloadable_party_results/WC015.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC015.csv,2026-09-24 22:18:04 UTC,129190,b91e2d8543bbca1dc2273f4341cf8bb87d835e4cec36b2641580f4a0832021fe,
data/raw/iec/lge/2016/downloadable_party_results/WC022.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC022.csv,2026-09-24 22:18:04 UTC,250251,c84cec369ccd35e685beff5b72bd6ea3280fca7b0dde7061bb543df3c3a8909e,
data/raw/iec/lge/2016/downloadable_party_results/WC023.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC023.csv,2026-09-24 22:18:05 UTC,486157,7e2c215583e81a6636edfdbd0fa77e1e44a26c210fde09b7ff7898aa1ded63d8,
data/raw/iec/lge/2016/downloadable_party_results/WC024.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC024.csv,2026-09-24 22:18:06 UTC,299586,c027b2ede34ce12a2510dc9428c1e32b684ba7184821c50cafb328af4740ebca,
data/raw/iec/lge/2016/downloadable_party_results/WC025.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC025.csv,2026-09-24 22:18:07 UTC,314821,cfee9f5160c13ebb7ceded3a6e722a15aa87f2c57753b1d060fa103829a0d128,
data/raw/iec/lge/2016/downloadable_party_results/WC026.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC026.csv,2026-09-24 22:18:07 UTC,207025,1a77be65e44608a46aadc1ca1bccac8aa9e44dfc929116ab708b9f625ad1e441,
